label,KOR,JAP
2021,34757.72007,39285.16311
2020,31597.50465,39918.16756
2019,31902.4169,40458.00188
2018,33436.92306,39727.1166
2017,31616.8434,38834.05293
2016,29288.87044,39375.47316
2015,28732.23108,34960.63938
2014,29249.57522,38475.39525
2013,27182.73431,40898.6479
2012,25466.76052,49145.28043
2011,25096.26388,48760.07895
2010,23087.22564,44968.15623
2009,19143.85161,41308.99684
2008,21350.42798,39876.30397
2007,24086.41044,35779.02454
2006,21743.47745,35991.546
2005,19402.50263,37812.89502
2004,16496.12009,38298.98017
2003,14672.85747,35387.03742
2002,13165.06574,32820.79364
2001,11561.24837,34406.18246
2000,12256.99357,39169.35957
1999,10672.41793,36610.16832
1998,8281.699982,32423.75561
1997,12398.48003,35638.23196
1996,13403.04959,39150.03963
1995,12564.77813,44197.6191
1994,10385.33617,39933.51506
1993,8884.928319,35681.96394
1992,8126.67039,31414.98464
1991,7636.982429,28915.0082
1990,6610.036508,25371.46417
1989,5817.029181,24822.77557
1988,4748.629608,25059.00743
1987,3554.595206,20748.99092
1986,2834.903848,17113.26232
1985,2482.399956,11576.69211
1984,2413.263925,10978.91981
1983,2198.934472,10421.21244
1982,1992.528225,9575.607713
1981,1883.451279,10360.17827
1980,1715.42946,9463.353855
1979,1783.622313,9103.564756
1978,1405.822374,8820.691945
1977,1055.880041,6335.286871
1976,834.134208,5197.622337
1975,617.4560619,4674.445481
1974,563.3559578,4353.824355
1973,406.8988301,3974.745605
1972,324.1962768,2967.041996
1971,301.1765677,2272.077802
1970,279.3049689,2056.122046
1969,243.4224129,1684.659403
1968,198.431298,1451.337703
1967,161.159931,1239.318377
1966,133.4748485,1068.55844
1965,108.7221312,928.5188486
1964,123.6034948,843.6168785
1963,146.3143419,724.6937622
1962,106.1485057,639.6407854
1961,93.82864905,568.9077427
1960,158.2493033,475.3190756
